timestamp,loss,steps,total_steps,avg_loss,total_messages
1787477485.164,2.500000,10,0,0.000000,6
1787483289.377,2.667239,16,2340,0.166702,182703
1787483322.406,2.238363,16,2404,0.153300,183915
1787483427.429,1.845907,16,2468,0.140656,185506
1787483463.056,2.641390,16,2532,0.146764,186267
1787483501.924,2.388988,16,2596,0.147274,186712
1787483539.807,2.443326,16,2660,0.148179,186717
1787483571.756,1.780170,14,2716,0.145503,186779
1787483606.621,2.006337,15,2776,0.144094,187072
1787483646.413,1.846764,16,2840,0.140840,187225
1787483681.424,2.173640,16,2904,0.140332,187225
1787483715.807,1.562686,16,2968,0.136386,187225
1787483751.898,1.716834,16,3032,0.133924,187225
1787483784.280,1.819007,14,3088,0.133649,187225
1787483852.460,1.931444,16,3152,0.132704,187293
1787483889.740,2.138070,16,3216,0.132767,187466
1787483927.659,1.899535,16,3280,0.131871,187466
1787483962.945,1.662932,16,3344,0.130197,187466
1787483997.066,1.919183,15,3404,0.130077,187466
1787484034.395,1.612496,16,3468,0.128504,187610
1787484072.197,2.279327,16,3532,0.129215,188518
1787484110.788,1.934430,15,3592,0.129204,189097
1787484151.618,1.734078,16,3656,0.128238,189306
1787484190.036,2.016102,16,3720,0.128139,189654
1787484223.244,1.865051,13,3772,0.128672,189956
1787484260.570,2.005971,16,3836,0.128537,190058
1787484299.340,1.899229,16,3900,0.128149,190058
1787484336.379,1.729165,16,3964,0.127388,190058
1787484370.227,2.309411,15,4024,0.128300,190058
1787484402.811,1.803352,14,4080,0.128316,190058
1787485274.856,6.899676,16,760,0.431230,190468
1787485308.531,3.720479,16,824,0.331880,190489
1787485365.703,1.905515,16,888,0.260951,190490
1787485402.873,2.386673,16,952,0.233005,190580
1787485436.744,2.290924,16,1016,0.215041,190819
1787485493.759,2.148413,16,1080,0.201580,191004
1787485531.189,2.171288,16,1144,0.192169,191314
1787485568.379,1.540313,16,1208,0.180182,191685
1787485608.804,2.067907,16,1272,0.174522,192186
1787485651.949,2.141541,16,1336,0.170455,192647
1787485690.216,2.260940,16,1400,0.167805,192942
1787485731.373,1.443676,16,1464,0.161340,193482
1787485774.409,1.497882,16,1528,0.156131,193967
1787485812.678,1.583738,16,1592,0.152049,194627
1787485849.812,2.167021,16,1656,0.150942,195129
1787485889.517,1.129398,16,1720,0.145919,195658
1787485929.175,1.418839,16,1784,0.142552,196277
1787485965.672,1.771733,16,1848,0.140785,196587
1787486003.721,1.444675,16,1912,0.138127,196989
1787486042.536,1.597013,16,1976,0.136211,197381
1787486082.639,1.497334,16,2040,0.134181,197855
1787486118.962,1.509586,16,2104,0.132371,198393
1787486160.552,1.559866,16,2168,0.130854,198962
1787486200.967,1.738503,16,2232,0.129930,199198
1787486238.032,1.849074,16,2296,0.129355,199421
1787486276.956,1.719544,16,2360,0.128513,199723
1787486318.857,2.019322,16,2424,0.128428,200220
1787486359.633,1.611028,16,2488,0.127437,200892
1787486397.921,1.497904,16,2552,0.126271,201406
1787486435.591,1.698342,16,2616,0.125600,201911
1787486474.253,1.792047,16,2680,0.125162,202979
1787486514.913,1.419196,16,2744,0.124022,203566
1787486554.151,1.462369,16,2808,0.123034,204405
1787486593.257,1.547541,16,2872,0.122260,205131
1787486640.064,1.525103,16,2936,0.121490,205738
1787486676.868,1.232692,16,3000,0.120255,206774
1787486740.270,1.572327,16,3064,0.119661,208252
1787486777.282,1.330902,16,3128,0.118701,209778
1787486815.219,1.322119,16,3192,0.117776,211457
1787486857.760,1.270760,16,3256,0.116818,213351
